Sex,Age,Eng1,Math1,Phy1,Chem1,Bio1,Eng2,Math2,Phy2,Chem2,Bio2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Eng3,Math3,Phy3,Chem3,Bio3
F,18.0,47.0,57.0,63.0,65.0,48.0,57.0,63.0,72.0,67.0,52.0,Good,Mother and Father,Less Than 5000,High SchoolDropout,Yes,3-3.5,Civil Servant,No,40.0,55.0,60.0,58.0,61.0
F,18.0,46.0,43.0,48.0,54.0,50.0,45.0,48.0,46.0,55.0,28.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,56.0,50.0,42.0,55.0,52.0
M,21.0,45.0,46.0,57.0,39.0,85.0,35.0,53.0,43.0,56.0,25.0,Excellent,Mother and Father,10000-20000,Degree,Yes,2.5-3,Civil Servant,Yes,40.0,58.0,66.0,60.0,45.0
F,17.0,54.0,61.0,63.0,66.0,69.0,62.0,67.0,66.0,69.0,54.0,Good,Mother and Father,Less Than 5000,High School,Yes,3-3.5,Trading,Yes,81.0,83.0,66.0,61.0,82.0
M,17.0,67.0,50.0,34.0,50.0,57.0,62.0,52.0,84.0,66.0,47.0,Excellent,Siblings,Less Than 5000,Degree,Yes,3.5-4,Civil Servant,Yes,71.0,69.0,51.0,66.0,70.0
M,16.0,50.0,44.0,49.0,42.0,45.0,72.0,56.0,63.0,58.0,28.0,Good,Mother and Father,5000-10000,Degree,Yes,3.5-4,Civil Servant,Yes,59.0,41.0,44.0,45.0,60.0
M,16.0,68.0,57.0,68.0,74.0,56.0,72.0,52.0,84.0,70.0,56.0,Very Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Civil Servant,Yes,51.0,60.0,50.0,57.0,74.0
F,16.0,48.0,50.0,58.0,50.0,48.0,59.0,54.0,61.0,56.0,58.0,Very Good,Mother and Father,Less Than 5000,High SchoolDropout,Yes,2.5-3,Trading,Yes,62.0,77.0,57.0,59.0,72.0
F,16.0,57.0,50.0,47.0,55.0,62.0,61.0,56.0,64.0,69.0,60.0,Very Good,Mother Only,Less Than 5000,High SchoolDropout,No,3-3.5,Trading,Yes,55.0,45.0,50.0,60.0,65.0
M,16.0,44.0,40.0,49.0,49.0,43.0,54.0,50.0,46.0,61.0,31.0,Very Good,Mother Only,10000-20000,PhD,No,3-3.5,Military,Yes,53.0,79.0,35.0,66.0,44.0
F,17.0,47.0,54.0,64.0,67.0,55.0,47.0,54.0,64.0,67.0,55.0,Good,Mother and Father,5000-10000,High School,No,3.5-4,Trading,Yes,45.0,50.0,60.0,65.0,54.0
F,16.0,89.0,65.0,71.0,75.0,75.0,89.0,73.0,74.0,82.0,67.0,Very Good,Mother and Father,10000-20000,Degree,No,3-3.5,Civil Servant,Yes,82.0,86.0,63.0,73.0,85.0
M,18.0,53.0,50.0,52.0,56.0,42.0,60.0,55.0,52.0,61.0,54.0,Good,Other Relatives,Less Than 5000,Diploma,No,3.5-4,Trading,Yes,66.0,62.0,60.0,48.0,80.0
M,16.0,55.0,41.0,56.0,52.0,53.0,45.0,57.0,52.0,63.0,35.0,Excellent,Mother and Father,More Than 20000,Degree,Yes,3-3.5,Civil Servant,Yes,51.0,62.0,52.0,71.0,50.0
F,18.0,55.0,55.0,60.0,58.0,56.0,70.0,71.0,70.0,70.0,65.0,Good,Mother and Father,10000-20000,High School,No,3.5-4,Trading,Yes,72.0,83.0,61.0,65.0,88.0
M,20.0,57.0,51.0,54.0,50.0,56.0,75.0,58.0,59.0,59.0,67.0,Excellent,Mother and Father,More Than 20000,Degree,Yes,3-3.5,Civil Servant,Yes,56.0,53.0,42.0,54.0,48.0
F,16.0,58.0,58.0,48.0,52.0,56.0,61.0,58.0,64.0,65.0,65.0,Very Good,Mother and Father,5000-10000,High SchoolDropout,Yes,3-3.5,Trading,Yes,66.0,77.0,57.0,51.0,76.0
F,16.0,76.0,50.0,58.0,67.0,65.0,77.0,66.0,71.0,72.0,63.0,Satisfactory,Mother and Father,5000-10000,High SchoolDropout,Yes,3-3.5,Trading,Yes,81.0,78.0,61.0,67.0,70.0
M,17.0,45.0,50.0,55.0,50.0,37.0,67.0,52.0,53.0,60.0,35.0,Excellent,Mother and Father,Less Than 5000,High SchoolDropout,Yes,2.5-3,Trading,Yes,45.0,48.0,58.0,52.0,40.0
M,16.0,57.0,57.0,41.0,59.0,54.0,71.0,55.0,60.0,75.0,53.0,Good,Mother Only,5000-10000,Diploma,Yes,3-3.5,Civil Servant,Yes,55.0,79.0,51.0,60.0,76.0
F,17.0,39.0,52.0,41.0,58.0,50.0,71.0,55.0,60.0,75.0,53.0,Excellent,Father Only,5000-10000,Diploma,Yes,2.5-3,Artisan,Yes,52.0,68.0,35.0,48.0,31.0
M,16.0,59.0,43.0,46.0,67.0,49.0,51.0,53.0,43.0,62.0,51.0,Excellent,Mother and Father,Less Than 5000,Degree,Yes,2.5-3,Civil Servant,Yes,57.0,54.0,55.0,60.0,67.0
M,16.0,58.0,37.0,46.0,62.0,56.0,53.0,35.0,48.0,62.0,53.0,Very Good,Mother and Father,More Than 20000,Masters,Yes,2.5-3,Civil Servant,Yes,46.0,53.0,40.0,62.0,75.0
F,16.0,56.0,42.0,50.0,63.0,54.0,51.0,52.0,48.0,59.0,51.0,Good,Father Only,10000-20000,Degree,No,2.5-3,Trading,Yes,58.0,50.0,51.0,59.0,61.0
F,16.0,57.0,44.0,44.0,48.0,57.0,64.0,65.0,51.0,66.0,52.0,Good,Other Relatives,10000-20000,Masters,No,2.5-3,Trading,Yes,65.0,52.0,51.0,53.0,70.0
F,18.0,48.0,57.0,50.0,61.0,62.0,59.0,53.0,53.0,62.0,47.0,Good,Other Relatives,5000-10000,High School,No,2.5-3,Civil Servant,Yes,66.0,58.0,55.0,56.0,71.0
F,16.0,71.0,50.0,44.0,56.0,52.0,81.0,54.0,62.0,61.0,44.0,Good,Mother and Father,5000-10000,High School,No,2.5-3,Trading,Yes,75.0,50.0,50.0,59.0,70.0
M,17.0,68.0,52.0,43.0,71.0,66.0,46.0,40.0,46.0,59.0,52.0,Very Good,Mother Only,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,48.0,50.0,52.0,61.0,75.0
M,16.0,52.0,52.0,47.0,70.0,52.0,62.0,60.0,65.0,59.0,53.0,Excellent,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,68.0,55.0,52.0,65.0,85.0
M,16.0,73.0,47.0,45.0,69.0,70.0,66.0,40.0,61.0,55.0,57.0,Excellent,Mother and Father,5000-10000,Degree,Yes,3.5-4,Military,Yes,65.0,56.0,43.0,45.0,32.0
F,16.0,79.0,70.0,58.0,79.0,72.0,79.0,69.0,79.0,76.0,74.0,Good,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,83.0,68.0,72.0,74.0,87.0
F,16.0,54.0,52.0,51.0,66.0,64.0,54.0,51.0,51.0,69.0,54.0,Good,Mother and Father,5000-10000,Degree,No,2-2.5,Artisan,Yes,72.0,63.0,55.0,58.0,81.0
F,17.0,65.0,56.0,52.0,66.0,57.0,68.0,50.0,62.0,67.0,51.0,Good,Mother and Father,More Than 20000,Degree,Yes,3.5-4,Trading,No,63.0,40.0,52.0,58.0,66.0
F,17.0,57.0,40.0,55.0,63.0,51.0,72.0,51.0,70.0,62.0,46.0,Satisfactory,Mother and Father,Less Than 5000,Degree,Yes,2-2.5,Artisan,Yes,56.0,50.0,50.0,53.0,73.0
F,17.0,54.0,50.0,45.0,73.0,58.0,60.0,51.0,50.0,71.0,57.0,Good,Mother and Father,10000-20000,Masters,No,3-3.5,Military,Yes,58.0,53.0,50.0,59.0,85.0
M,17.0,77.0,73.0,64.0,79.0,73.0,76.0,65.0,73.0,82.0,71.0,Very Good,Father Only,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,86.0,57.0,66.0,73.0,84.0
F,17.0,66.0,50.0,43.0,61.0,56.0,63.0,55.0,62.0,61.0,61.0,Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Civil Servant,Yes,48.0,56.0,43.0,60.0,64.0
F,17.0,63.0,51.0,56.0,63.0,61.0,57.0,58.0,59.0,55.0,59.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Civil Servant,No,70.0,52.0,50.0,58.0,80.0
F,16.0,75.0,68.0,63.0,65.0,63.0,71.0,50.0,72.0,63.0,50.0,Satisfactory,Mother and Father,Less Than 5000,High School,No,3-3.5,Civil Servant,Yes,78.0,64.0,56.0,59.0,69.0
M,21.0,64.0,79.0,60.0,72.0,67.0,74.0,71.0,79.0,79.0,63.0,Excellent,Mother Only,Less Than 5000,Masters,Yes,2.5-3,Civil Servant,Yes,60.0,65.0,60.0,66.0,70.0
M,17.0,61.0,56.0,48.0,65.0,60.0,62.0,54.0,70.0,85.0,60.0,Very Good,Mother and Father,Less Than 5000,Masters,Yes,3-3.5,Civil Servant,Yes,56.0,70.0,60.0,48.0,65.0
M,17.0,57.0,71.0,64.0,75.0,80.0,61.0,53.0,59.0,73.0,46.0,Very Good,Mother and Father,5000-10000,Masters,No,3-3.5,Civil Servant,Yes,46.0,56.0,50.0,48.0,60.0
F,18.0,46.0,51.0,51.0,39.0,60.0,51.0,50.0,34.0,59.0,42.0,Very Good,Mother and Father,More Than 20000,Degree,No,3.5-4,Trading,Yes,65.0,50.0,39.0,61.0,61.0
F,16.0,61.0,50.0,69.0,50.0,58.0,58.0,53.0,61.0,60.0,45.0,Very Good,Siblings,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,50.0,55.0,51.0,47.0
F,16.0,52.0,57.0,68.0,21.0,57.0,63.0,50.0,63.0,54.0,45.0,Good,Mother and Father,Less Than 5000,Masters,Yes,3-3.5,Trading,Yes,58.0,50.0,54.0,51.0,52.0
F,16.0,54.0,57.0,62.0,54.0,58.0,63.0,58.0,63.0,58.0,50.0,Good,Mother and Father,5000-10000,Degree,Yes,3.5-4,Civil Servant,Yes,66.0,57.0,44.0,51.0,62.0
M,16.0,33.0,52.0,57.0,51.0,49.0,52.0,39.0,60.0,58.0,41.0,Good,Mother and Father,Less Than 5000,Diploma,Yes,2-2.5,Civil Servant,No,50.0,40.0,51.0,50.0,72.0
M,16.0,58.0,68.0,63.0,63.0,62.0,62.0,55.0,68.0,51.0,44.0,Very Good,Mother and Father,10000-20000,Masters,Yes,3.5-4,Civil Servant,Yes,47.0,63.0,47.0,48.0,61.0
F,16.0,66.0,69.0,60.0,38.0,63.0,56.0,62.0,60.0,62.0,51.0,Very Good,Mother and Father,Less Than 5000,High School,No,3-3.5,Civil Servant,Yes,54.0,50.0,47.0,52.0,63.0
F,16.0,53.0,57.0,56.0,55.0,66.0,55.0,53.0,60.0,68.0,50.0,Good,Mother Only,Less Than 5000,Degree,No,2.5-3,Military,Yes,47.0,50.0,54.0,53.0,74.0
M,17.0,53.0,63.0,75.0,57.0,57.0,59.0,62.0,66.0,60.0,51.0,Very Good,Mother and Father,10000-20000,PhD,Yes,3-3.5,Civil Servant,Yes,41.0,54.0,46.0,54.0,64.0
F,16.0,55.0,52.0,68.0,50.0,56.0,66.0,50.0,73.0,64.0,50.0,Good,Mother and Father,Less Than 5000,Degree,Yes,2.5-3,Civil Servant,Yes,69.0,51.0,50.0,51.0,75.0
F,16.0,60.0,62.0,72.0,49.0,56.0,60.0,50.0,65.0,65.0,50.0,Good,Mother and Father,10000-20000,Degree,No,3-3.5,Civil Servant,Yes,72.0,50.0,52.0,50.0,70.0
F,16.0,61.0,43.0,68.0,45.0,54.0,57.0,36.0,57.0,60.0,51.0,Very Good,Mother and Father,5000-10000,High School,No,3-3.5,Civil Servant,Yes,64.0,53.0,51.0,48.0,56.0
F,16.0,55.0,62.0,56.0,55.0,61.0,53.0,50.0,63.0,56.0,50.0,Very Good,Mother and Father,5000-10000,High School,No,3-3.5,Civil Servant,Yes,65.0,53.0,53.0,53.0,61.0
F,16.0,62.0,50.0,59.0,51.0,65.0,55.0,51.0,66.0,54.0,52.0,Satisfactory,Mother and Father,5000-10000,Degree,Yes,2-2.5,Civil Servant,Yes,53.0,51.0,53.0,51.0,78.0
F,16.0,58.0,50.0,54.0,49.0,50.0,59.0,51.0,63.0,60.0,50.0,Excellent,Mother and Father,5000-10000,PhD,Yes,3-3.5,Trading,Yes,63.0,50.0,51.0,48.0,77.0
M,17.0,64.0,74.0,79.0,63.0,69.0,63.0,76.0,78.0,68.0,57.0,Very Good,Mother and Father,10000-20000,No Education,Yes,2-2.5,Civil Servant,Yes,71.0,62.0,68.0,68.0,70.0
M,17.0,32.0,39.0,75.0,55.0,52.0,45.0,32.0,60.0,54.0,47.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Trading,Yes,55.0,50.0,34.0,45.0,66.0
F,17.0,68.0,41.0,64.0,48.0,63.0,50.0,44.0,62.0,43.0,39.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Trading,Yes,43.0,38.0,35.0,46.0,58.0
M,16.0,50.0,38.0,59.0,55.0,60.0,53.0,45.0,64.0,60.0,50.0,Good,Mother Only,Less Than 5000,High School,No,2.5-3,Artisan,Yes,61.0,44.0,38.0,53.0,48.0
F,16.0,56.0,56.0,47.0,55.0,55.0,60.0,50.0,65.0,52.0,54.0,Good,Mother and Father,5000-10000,Degree,Yes,2-2.5,Trading,Yes,49.0,50.0,53.0,46.0,63.0
F,16.0,50.0,43.0,53.0,56.0,58.0,62.0,50.0,59.0,61.0,50.0,Good,Siblings,More Than 20000,Degree,Yes,2-2.5,Civil Servant,Yes,66.0,50.0,50.0,50.0,68.0
F,16.0,43.0,50.0,62.0,51.0,51.0,58.0,53.0,64.0,62.0,51.0,Good,Mother and Father,5000-10000,Diploma,Yes,2-2.5,Trading,Yes,60.0,50.0,52.0,50.0,74.0
F,16.0,77.0,53.0,69.0,53.0,79.0,73.0,56.0,65.0,64.0,55.0,Satisfactory,Other Relatives,5000-10000,Masters,No,3-3.5,Trading,Yes,83.0,50.0,53.0,59.0,76.0
M,17.0,46.0,36.0,76.0,46.0,59.0,53.0,37.0,60.0,58.0,47.0,Satisfactory,Mother and Father,Less Than 5000,Diploma,No,2-2.5,Civil Servant,No,53.0,50.0,35.0,51.0,68.0
M,16.0,51.0,39.0,74.0,30.0,66.0,56.0,39.0,65.0,62.0,51.0,Satisfactory,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,57.0,50.0,37.0,59.0,62.0
M,16.0,37.0,53.0,61.0,44.0,64.0,65.0,36.0,66.0,57.0,51.0,Satisfactory,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,75.0,55.0,50.0,55.0,76.0
F,16.0,59.0,53.0,50.0,47.0,68.0,55.0,54.0,60.0,57.0,52.0,Very Good,Mother and Father,Less Than 5000,Degree,No,3-3.5,Civil Servant,Yes,62.0,52.0,52.0,55.0,52.0
F,16.0,50.0,37.0,62.0,50.0,71.0,53.0,51.0,64.0,59.0,48.0,Good,Mother Only,More Than 20000,Diploma,Yes,3.5-4,Civil Servant,Yes,65.0,50.0,41.0,53.0,66.0
F,16.0,67.0,57.0,69.0,62.0,60.0,56.0,50.0,63.0,63.0,46.0,Satisfactory,Other Relatives,5000-10000,Masters,No,2.5-3,Military,Yes,78.0,50.0,57.0,51.0,79.0
F,16.0,63.0,52.0,67.0,59.0,65.0,58.0,51.0,60.0,63.0,42.0,Excellent,Father Only,5000-10000,High School,Yes,3-3.5,Civil Servant,Yes,55.0,50.0,57.0,50.0,65.0
M,17.0,39.0,53.0,69.0,54.0,65.0,75.0,56.0,70.0,60.0,52.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,87.0,61.0,61.0,59.0,75.0
F,16.0,54.0,50.0,54.0,48.0,59.0,50.0,50.0,64.0,54.0,51.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,57.0,50.0,50.0,48.0,62.0
M,16.0,68.0,50.0,62.0,55.0,65.0,66.0,59.0,66.0,50.0,43.0,Satisfactory,Mother and Father,More Than 20000,High SchoolDropout,Yes,3-3.5,Trading,Yes,52.0,51.0,55.0,45.0,80.0
M,16.0,56.0,54.0,58.0,55.0,62.0,64.0,50.0,68.0,52.0,50.0,Excellent,Mother and Father,Less Than 5000,High School,Yes,3-3.5,Civil Servant,Yes,53.0,54.0,36.0,50.0,65.0
M,16.0,39.0,50.0,50.0,50.0,53.0,58.0,37.0,63.0,52.0,38.0,Good,Mother and Father,Less Than 5000,High School,Yes,3.5-4,Civil Servant,Yes,41.0,56.0,39.0,42.0,33.0
F,17.0,52.0,50.0,65.0,47.0,53.0,58.0,50.0,70.0,54.0,52.0,Very Good,Mother and Father,5000-10000,High School,Yes,3-3.5,Civil Servant,Yes,60.0,50.0,51.0,64.0,67.0
F,16.0,51.0,50.0,65.0,46.0,44.0,54.0,52.0,66.0,55.0,58.0,Good,Mother Only,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,43.0,50.0,44.0,57.0,67.0
F,16.0,43.0,50.0,61.0,47.0,43.0,64.0,42.0,59.0,54.0,52.0,Very Good,Mother Only,Less Than 5000,High School,No,2.5-3,Military,Yes,38.0,55.0,46.0,59.0,67.0
M,17.0,62.0,50.0,68.0,60.0,57.0,70.0,52.0,70.0,58.0,57.0,Satisfactory,Mother Only,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,57.0,59.0,47.0,63.0,76.0
F,17.0,55.0,56.0,72.0,60.0,53.0,76.0,55.0,68.0,67.0,56.0,Good,Mother Only,5000-10000,Degree,Yes,3-3.5,Military,Yes,56.0,50.0,49.0,70.0,76.0
F,16.0,50.0,50.0,64.0,55.0,40.0,63.0,39.0,62.0,50.0,54.0,Good,Mother and Father,5000-10000,Diploma,Yes,2-2.5,Artisan,Yes,49.0,50.0,45.0,61.0,62.0
F,16.0,56.0,45.0,51.0,42.0,48.0,59.0,43.0,57.0,41.0,54.0,Excellent,Mother Only,More Than 20000,PhD,Yes,2.5-3,Artisan,No,42.0,50.0,40.0,58.0,63.0
M,16.0,67.0,56.0,59.0,58.0,67.0,63.0,61.0,69.0,50.0,63.0,Good,Father Only,Less Than 5000,Degree,Yes,2.5-3,Artisan,Yes,64.0,50.0,47.0,66.0,57.0
F,16.0,52.0,58.0,67.0,59.0,51.0,56.0,63.0,66.0,48.0,53.0,Very Good,Mother Only,Less Than 5000,High School,No,2.5-3,Trading,Yes,57.0,53.0,48.0,61.0,45.0
M,17.0,57.0,43.0,62.0,44.0,48.0,55.0,30.0,59.0,50.0,53.0,Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Artisan,Yes,47.0,50.0,52.0,64.0,66.0
F,17.0,53.0,50.0,48.0,53.0,54.0,58.0,50.0,59.0,52.0,44.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,43.0,50.0,49.0,65.0,68.0
M,17.0,55.0,56.0,66.0,50.0,50.0,63.0,53.0,63.0,60.0,56.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,No,49.0,56.0,47.0,64.0,66.0
M,17.0,62.0,56.0,65.0,61.0,59.0,72.0,46.0,74.0,67.0,74.0,Good,Mother Only,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,61.0,58.0,52.0,70.0,78.0
F,16.0,59.0,61.0,57.0,64.0,61.0,69.0,50.0,66.0,69.0,78.0,Satisfactory,Siblings,Less Than 5000,Degree,No,3.5-4,Civil Servant,Yes,60.0,56.0,54.0,66.0,58.0
F,17.0,44.0,50.0,66.0,56.0,48.0,68.0,51.0,63.0,72.0,68.0,Good,Mother and Father,Less Than 5000,No Education,No,2.5-3,Military,No,63.0,57.0,54.0,60.0,42.0
F,16.0,62.0,50.0,66.0,63.0,63.0,68.0,60.0,69.0,72.0,65.0,Good,Mother Only,5000-10000,Degree,Yes,3.5-4,Civil Servant,Yes,56.0,54.0,52.0,56.0,65.0
F,17.0,64.0,50.0,64.0,72.0,43.0,71.0,45.0,69.0,73.0,73.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Civil Servant,Yes,46.0,52.0,56.0,57.0,67.0
M,16.0,61.0,41.0,44.0,58.0,47.0,72.0,50.0,34.0,73.0,59.0,Satisfactory,Mother and Father,More Than 20000,Degree,Yes,3.5-4,Trading,Yes,54.0,45.0,54.0,59.0,74.0
M,17.0,61.0,54.0,71.0,59.0,48.0,66.0,50.0,71.0,65.0,67.0,Good,Mother and Father,Less Than 5000,High School,No,2.5-3,Civil Servant,Yes,54.0,54.0,53.0,61.0,64.0
M,17.0,60.0,50.0,71.0,68.0,49.0,69.0,50.0,71.0,73.0,64.0,Good,Mother Only,5000-10000,High School,No,3-3.5,Civil Servant,Yes,50.0,58.0,52.0,67.0,68.0
F,17.0,76.0,55.0,72.0,61.0,66.0,78.0,55.0,71.0,69.0,60.0,Good,Mother and Father,5000-10000,No Education,No,3-3.5,Trading,Yes,76.0,55.0,83.0,75.0,79.0
F,17.0,65.0,82.0,71.0,86.0,76.0,85.0,77.0,76.0,95.0,84.0,Good,Mother Only,Less Than 5000,Diploma,Yes,2.5-3,Civil Servant,Yes,82.0,87.0,83.0,82.0,82.0
F,17.0,54.0,62.0,71.0,53.0,52.0,64.0,54.0,69.0,33.0,73.0,Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Artisan,Yes,66.0,51.0,58.0,67.0,74.0
F,16.0,60.0,56.0,59.0,67.0,66.0,65.0,53.0,63.0,67.0,64.0,Excellent,Mother Only,5000-10000,Masters,Yes,2-2.5,Civil Servant,Yes,61.0,54.0,49.0,62.0,68.0
F,17.0,55.0,56.0,67.0,53.0,57.0,67.0,50.0,64.0,69.0,56.0,Good,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Trading,No,56.0,52.0,50.0,69.0,74.0
M,16.0,63.0,58.0,75.0,73.0,69.0,66.0,41.0,67.0,44.0,50.0,Good,Mother and Father,10000-20000,PhD,Yes,3.5-4,Civil Servant,Yes,62.0,50.0,56.0,59.0,77.0
M,17.0,50.0,31.0,66.0,46.0,33.0,61.0,25.0,50.0,40.0,43.0,Good,Mother Only,Less Than 5000,Degree,No,3.5-4,Civil Servant,Yes,62.0,55.0,56.0,45.0,67.0
M,16.0,60.0,61.0,74.0,73.0,69.0,70.0,54.0,60.0,67.0,72.0,Good,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,77.0,56.0,56.0,67.0,65.0
F,17.0,61.0,72.0,46.0,88.0,75.0,78.0,59.0,73.0,77.0,73.0,Good,Mother and Father,5000-10000,High School,No,3-3.5,Trading,Yes,58.0,71.0,77.0,76.0,82.0
F,16.0,57.0,58.0,68.0,72.0,56.0,61.0,55.0,66.0,62.0,72.0,Good,Mother and Father,5000-10000,Diploma,Yes,2.5-3,Civil Servant,Yes,46.0,59.0,64.0,69.0,60.0
M,17.0,53.0,62.0,69.0,63.0,63.0,65.0,50.0,66.0,62.0,63.0,Satisfactory,Mother and Father,10000-20000,Degree,No,3-3.5,Civil Servant,Yes,48.0,56.0,53.0,68.0,85.0
F,17.0,57.0,64.0,72.0,76.0,54.0,54.0,50.0,72.0,63.0,70.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Trading,No,61.0,54.0,49.0,69.0,78.0
M,17.0,70.0,60.0,62.0,70.0,56.0,74.0,53.0,68.0,62.0,59.0,Satisfactory,Mother and Father,More Than 20000,Degree,No,3-3.5,Civil Servant,Yes,69.0,55.0,66.0,61.0,69.0
F,17.0,52.0,52.0,68.0,57.0,60.0,60.0,43.0,62.0,48.0,53.0,Excellent,Mother and Father,Less Than 5000,High School,No,2.5-3,Civil Servant,Yes,48.0,50.0,53.0,50.0,65.0
M,17.0,95.0,94.0,95.0,99.0,97.0,86.0,92.0,90.0,96.0,96.0,Very Good,Mother Only,5000-10000,No Education,Yes,2.5-3,Military,Yes,88.0,87.0,85.0,86.0,93.0
M,17.0,20.0,43.0,67.0,44.0,50.0,58.0,50.0,45.0,34.0,42.0,Good,Mother Only,5000-10000,Degree,No,2-2.5,Civil Servant,Yes,42.0,44.0,51.0,62.0,56.0
F,18.0,51.0,54.0,63.0,75.0,50.0,75.0,48.0,68.0,57.0,50.0,Excellent,Mother Only,5000-10000,Masters,Yes,3-3.5,Trading,Yes,46.0,50.0,60.0,65.0,82.0
F,17.0,64.0,60.0,59.0,59.0,50.0,75.0,55.0,66.0,56.0,52.0,Good,Mother Only,10000-20000,Masters,Yes,3-3.5,Civil Servant,Yes,40.0,45.0,61.0,65.0,63.0
M,16.0,68.0,53.0,52.0,48.0,50.0,68.0,62.0,61.0,57.0,55.0,Very Good,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Artisan,Yes,55.0,46.0,52.0,50.0,58.0
F,17.0,71.0,57.0,55.0,57.0,61.0,53.0,58.0,52.0,46.0,52.0,Good,Mother Only,Less Than 5000,Degree,Yes,2.5-3,Trading,Yes,58.0,50.0,47.0,44.0,62.0
F,16.0,68.0,54.0,53.0,61.0,59.0,56.0,58.0,50.0,4.0,50.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Trading,Yes,63.0,55.0,53.0,64.0,67.0
F,16.0,61.0,52.0,51.0,73.0,60.0,66.0,64.0,57.0,54.0,43.0,Satisfactory,Father Only,5000-10000,Degree,Yes,3-3.5,Artisan,Yes,50.0,55.0,58.0,62.0,74.0
F,16.0,76.0,50.0,62.0,50.0,58.0,47.0,62.0,47.0,36.0,50.0,Good,Mother and Father,More Than 20000,Degree,Yes,3.5-4,Civil Servant,Yes,51.0,40.0,56.0,58.0,62.0
F,17.0,78.0,55.0,62.0,53.0,44.0,61.0,60.0,60.0,50.0,50.0,Good,Siblings,Less Than 5000,High SchoolDropout,No,3-3.5,Civil Servant,Yes,63.0,50.0,47.0,64.0,62.0
M,16.0,57.0,63.0,65.0,73.0,50.0,68.0,64.0,72.0,60.0,58.0,Good,Mother and Father,10000-20000,High SchoolDropout,No,3-3.5,Civil Servant,No,50.0,51.0,53.0,64.0,80.0
F,16.0,53.0,51.0,42.0,52.0,51.0,51.0,46.0,56.0,57.0,50.0,Very Good,Mother Only,5000-10000,Diploma,Yes,3-3.5,Civil Servant,Yes,44.0,55.0,55.0,64.0,82.0
M,18.0,72.0,48.0,53.0,51.0,50.0,53.0,47.0,47.0,46.0,50.0,Excellent,Mother Only,Less Than 5000,Masters,Yes,3-3.5,Civil Servant,Yes,44.0,42.0,46.0,57.0,53.0
M,17.0,62.0,53.0,47.0,52.0,54.0,69.0,56.0,58.0,53.0,41.0,Good,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,55.0,47.0,56.0,53.0,44.0
M,17.0,69.0,41.0,61.0,64.0,66.0,57.0,60.0,47.0,48.0,50.0,Very Good,Mother and Father,Less Than 5000,Diploma,Yes,3-3.5,Military,Yes,53.0,47.0,47.0,53.0,46.0
M,17.0,82.0,72.0,88.0,87.0,79.0,77.0,67.0,86.0,84.0,76.0,Good,Siblings,Less Than 5000,High School,No,3.5-4,Trading,Yes,56.0,68.0,79.0,79.0,79.0
F,17.0,50.0,51.0,47.0,51.0,66.0,51.0,56.0,32.0,48.0,50.0,Good,Mother Only,10000-20000,PhD,No,3.5-4,Trading,No,37.0,50.0,47.0,39.0,50.0
M,18.0,63.0,55.0,58.0,55.0,42.0,59.0,55.0,60.0,53.0,53.0,Good,Mother Only,Less Than 5000,High School,No,2.5-3,Civil Servant,Yes,45.0,53.0,61.0,65.0,82.0
M,17.0,66.0,47.0,57.0,53.0,57.0,65.0,53.0,53.0,50.0,53.0,Excellent,I Live Alone,Less Than 5000,Masters,Yes,2-2.5,Artisan,Yes,42.0,46.0,49.0,56.0,63.0
